;species;Is in tree
3;Eurolimnornis_corneti;FALSE
8;Arcticodactylus_cromptonellus;FALSE
12;Uktenadactylus_wadleighi;FALSE
13;Mesadactylus_ornithosphyos;FALSE
18;Agadirichnus_elegans;FALSE
20;Rhamphocephalus_depressirostris;FALSE
21;Pteraichnus_yanguoxiaensis;FALSE
23;Aralazhdarcho_bostobensis;FALSE
35;Pteraichnus_koreanensis;FALSE
37;Herbstosaurus_pigmaeus;FALSE
43;Hatzegopteryx_thambema;FALSE
45;Tendaguripterus_recki;FALSE
46;Purbeckopus_pentadactylus;FALSE
47;Pteraichnus_parvus;FALSE
48;Apatorhamphus_gyrostega;FALSE
51;Coloborhynchus_moroccensis;FALSE
59;Antipus_bifidus;FALSE
64;Wenupteryx_uzi;FALSE
73;Quetzalcoatlus_lawsoni;FALSE
78;Bogolubovia_orientalis;FALSE
84;Ningchengopterus_liuae;FALSE
99;Huaxiapterus_corollatus;FALSE
108;Serradraco_sagittirostris;FALSE
118;Pteraichnus_nipponensis;FALSE
121;Peteinosaurus_zambelli;FALSE
122;Aerodraco_sedgwickii;FALSE
127;Nicorhynchus_capito;FALSE
129;Arthurdactylus_conandoylei;FALSE
139;Haenamichnus_uhangriensis;FALSE
140;Pteraichnus_saltwashensis;FALSE
141;Pteraichnus_stokesi;FALSE
142;Santanadactylus_brasilensis;FALSE
145;Santanadactylus_spixi;FALSE
158;Cryodrakon_boreas;FALSE
159;Zhenyuanopterus_longirostris;FALSE
161;Bergamodactylus_wildi;FALSE
171;Rhamphocephalus_bucklandi;FALSE
174;Pteraichnus_dongyangensis;FALSE
176;Geosternbergia_maiseyi;FALSE
177;Dawndraco_kanzai;FALSE
178;Unwindia_trigonus;FALSE
181;Gegepterus_changi;FALSE
182;Jianchangopterus_zhaoianus;FALSE
185;Samrukia_nessovi;FALSE
197;Navajodactylus_boerei;FALSE
200;Osteornis_diomedeus;FALSE
202;Scaphognathus_robustus;FALSE
212;Daohugoupterus_delicatus;FALSE
221;Xericeps_curvirostris;FALSE
225;Barbaridactylus_grandis;FALSE
226;Vesperopterylus_lamadongensis;FALSE
229;Ptenodracon_brevirostris;FALSE
231;Forfexopterus_jeholensis;FALSE
239;Nicorhynchus_fluviferox;FALSE
240;Albadraco_tharmisensis;FALSE
241;Leptostomia_begaaensis;FALSE
242;Kunpengopterus_antipollicatus;FALSE
243;Mistralazhdarcho_maggii;FALSE
244;Saraikisaurus_minhui;FALSE
245;Anmolpakhi_alleni;FALSE
248;Uktenadactylus_rodriguesae;FALSE
249;Tacuadactylus_luciae;FALSE
250;Wightia_declivirostris;FALSE
251;Kariridraco_dianae;FALSE
252;Dearc_sgiathanach;FALSE
253;Thanatosdrakon_amaru;FALSE
254;Yelaphomte_praderioi;FALSE
256;Pteraichnus_longipodus;FALSE
257;Ornithodesmus_cluniculus;FALSE
258;Epapatelo_otyikokolo;FALSE
259;Wellnhopterus_brevirostris;FALSE
260;Petrodactyle_wellnhoferi;FALSE
261;Balaenognathus_maeuseri;FALSE
262;Thapunngaka_shawi;FALSE
